review_scores_rating,price,bedrooms,reviews_per_month
4.7,85.0,1.0,0.33
4.93,65.0,1.0,0.4
4.85,243.0,1.0,0.51
4.85,62.0,1.0,0.24
4.75,54.0,1.0,0.23
4.83,43.0,1.0,0.74
4.62,92.0,0.0,0.69
4.63,65.0,2.0,0.34
4.93,95.0,1.0,0.76
4.65,78.0,0.0,0.53
4.94,82.0,1.0,4.87
4.8,90.0,1.0,0.34
4.56,92.0,0.0,0.47
4.79,85.0,1.0,0.33
4.86,55.0,1.0,0.46
4.5,78.0,1.0,0.14
4.93,42.0,2.0,0.25
4.72,92.0,0.0,0.65
4.67,150.0,1.0,3.43
4.87,90.0,1.0,0.37
4.76,70.0,1.0,0.42
4.8,111.0,1.0,0.49
4.53,45.0,1.0,0.16
4.88,137.0,2.0,2.37
4.95,55.0,1.0,0.93
4.94,65.0,1.0,0.29
4.79,149.0,2.0,1.01
4.67,113.0,1.0,0.32
4.81,97.0,1.0,2.83
4.56,80.0,1.0,0.07
4.93,140.0,2.0,1.07
4.9,55.0,1.0,0.33
4.8,220.0,3.0,0.47
4.9,306.0,3.0,2.23
4.8,300.0,3.0,0.25
4.98,72.0,1.0,2.75
4.77,178.0,3.0,0.56
4.85,87.0,1.0,0.58
4.94,325.0,1.0,1.55
,147.0,1.0,
4.85,219.0,3.0,1.84
3.6,185.0,4.0,0.22
4.96,91.0,1.0,5.02
4.84,6.0,1.0,2.04
4.88,175.0,3.0,1.57
5.0,48.0,1.0,0.33
5.0,333.0,2.0,1.07
4.86,121.0,3.0,0.97
4.9,100.0,0.0,3.99
4.99,175.0,2.0,0.87
4.96,175.0,3.0,3.21
4.76,77.0,1.0,0.46
4.89,71.0,1.0,0.42
4.93,165.0,1.0,0.26
4.92,59.0,1.0,0.73
4.77,120.0,2.0,1.82
4.93,99.0,1.0,2.38
4.74,111.0,1.0,0.22
4.87,85.0,1.0,0.96
4.93,70.0,1.0,0.28
4.95,126.0,1.0,4.79
4.91,66.0,0.0,0.44
4.75,51.0,1.0,0.24
4.7,59.0,1.0,0.27
4.85,70.0,1.0,0.51
4.93,84.0,1.0,1.33
4.98,115.0,1.0,1.55
5.0,84.0,1.0,0.39
4.83,60.0,1.0,2.55
4.78,92.0,1.0,0.72
4.94,45.0,1.0,0.92
